id,names,artist_names,artist_pop,albums,track_pop,durations_ms,playlist_name
0,Lovin On Me,Jack Harlow,81,Lovin On Me,88,138411,Hot Hits Australia
1,Lil Boo Thang,Paul Russell,64,Lil Boo Thang,86,114234,Hot Hits Australia
2,Got Me Started,Troye Sivan,78,Something To Give Each Other,83,198448,Hot Hits Australia
3,Houdini,Dua Lipa,85,Houdini,90,185918,Hot Hits Australia
4,Water,Tyla,73,Water,96,200256,Hot Hits Australia
5,greedy,Tate McRae,81,greedy,100,131872,Hot Hits Australia
6,Atmosphere,FISHER,68,Atmosphere,78,182857,Hot Hits Australia
7,Paint The Town Red,Doja Cat,86,Scarlet,82,230480,Hot Hits Australia
8,Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,95,For All The Dogs,88,319192,Hot Hits Australia
9,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,86,Zach Bryan,93,227196,Hot Hits Australia
10,Stick Season,Noah Kahan,82,Stick Season,91,182347,Hot Hits Australia
11,Prada,cassö,73,Prada,94,132359,Hot Hits Australia
12,Give You Love (feat. Jason Derulo),Jessica Mauboy,51,Give You Love (feat. Jason Derulo),69,174029,Hot Hits Australia
13,TOO MUCH,The Kid LAROI,80,TOO MUCH,91,203939,Hot Hits Australia
14,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,100,1989 (Taylor's Version),94,229478,Hot Hits Australia
15,Strangers,Kenya Grace,76,Strangers,98,172965,Hot Hits Australia
16,One Of Your Girls,Troye Sivan,78,Something To Give Each Other,88,181482,Hot Hits Australia
17,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd,92,Popular (Music from the HBO Original Series),92,215467,Hot Hits Australia
18,Eat Your Man (with Nelly Furtado),Dom Dolla,65,Eat Your Man (with Nelly Furtado),74,197165,Hot Hits Australia
19,BLEED,The Kid LAROI,80,THE FIRST TIME,73,169990,Hot Hits Australia
20,get him back!,Olivia Rodrigo,87,GUTS,89,211141,Hot Hits Australia
21,Can I Shower At Yours,Amy Shark,53,Can I Shower At Yours,64,114004,Hot Hits Australia
22,(It Goes Like) Nanana - Edit,Peggy Gou,70,(It Goes Like) Nanana [Edit],90,231545,Hot Hits Australia
23,Therapy,Budjerah,44,Therapy,63,192103,Hot Hits Australia
24,Calm Down (with Selena Gomez),Rema,77,Calm Down (with Selena Gomez),90,239318,Hot Hits Australia
25,Dance The Night - From Barbie The Album,Dua Lipa,85,Dance The Night (From Barbie The Album),93,176579,Hot Hits Australia
26,Used To Be Young,Miley Cyrus,82,Used To Be Young,81,190461,Hot Hits Australia
27,Rush,Troye Sivan,78,Something To Give Each Other,85,156391,Hot Hits Australia
28,Single Soon,Selena Gomez,81,Single Soon,87,171655,Hot Hits Australia
29,Standing Next to You,Jung Kook,89,GOLDEN,97,206020,Hot Hits Australia
30,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,86,"What Was I Made For? [From The Motion Picture ""Barbie""]",95,222370,Hot Hits Australia
31,Padam Padam,Kylie Minogue,70,Tension (Deluxe),37,166267,Hot Hits Australia
32,Agora Hills,Doja Cat,86,Scarlet,92,265360,Hot Hits Australia
33,Enough Is Enough,Post Malone,86,AUSTIN,79,165175,Hot Hits Australia
34,Baby Don't Hurt Me,David Guetta,85,Baby Don't Hurt Me,87,140018,Hot Hits Australia
35,Fast Car,Luke Combs,81,Gettin' Old,89,265493,Hot Hits Australia
36,Cruel Summer,Taylor Swift,100,Lover,99,178427,Hot Hits Australia
37,All My Life (feat. J. Cole),Lil Durk,80,All My Life (feat. J. Cole),82,223204,Hot Hits Australia
38,vampire,Olivia Rodrigo,87,GUTS,95,219724,Hot Hits Australia
39,Miracle (with Ellie Goulding),Calvin Harris,82,Miracle (with Ellie Goulding),85,186496,Hot Hits Australia
40,The Kind of Love We Make,Luke Combs,81,Growin' Up,82,224427,Hot Hits Australia
41,Daylight,David Kushner,75,Daylight,94,212954,Hot Hits Australia
42,adore u,Fred again..,75,adore u,83,220653,Hot Hits Australia
43,Last Night,Morgan Wallen,85,3 Songs At A Time Sampler,86,163855,Hot Hits Australia
44,Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj,84,Barbie World (with Aqua) [From Barbie The Album],89,109750,Hot Hits Australia
45,Chemical,Post Malone,86,Chemical,87,184013,Hot Hits Australia
46,Something in the Orange,Zach Bryan,86,Something in the Orange,90,228013,Hot Hits Australia
47,Flowers,Miley Cyrus,82,Endless Summer Vacation,92,200600,Hot Hits Australia
48,My Love Mine All Mine,Mitski,81,The Land Is Inhospitable and So Are We,97,137773,Hot Hits Australia
49,Sprinter,Dave,77,Sprinter,92,226383,Hot Hits Australia
50,Water - Remix,Tyla,73,Water (Remix),0,200256,Today’s Top Hits
51,Snooze,SZA,87,SOS,92,201800,Today’s Top Hits
52,MONACO,Bad Bunny,95,nadie sabe lo que va a pasar mañana,98,267194,Today’s Top Hits
53,Paint The Town Red,Doja Cat,86,Paint The Town Red,97,231750,Today’s Top Hits
54,exes,Tate McRae,81,exes,48,159400,Today’s Top Hits
55,Si No Estás,iñigo quintero,77,Si No Estás,99,184061,Today’s Top Hits
56,First Person Shooter (feat. J. Cole),Drake,95,For All The Dogs,91,247444,Today’s Top Hits
57,I KNOW ?,Travis Scott,90,UTOPIA,92,211582,Today’s Top Hits
58,bad idea right?,Olivia Rodrigo,87,GUTS,91,184784,Today’s Top Hits
59,Seven (feat. Latto) (Explicit Ver.),Jung Kook,89,Seven (feat. Latto),95,185427,Today’s Top Hits
60,Lose Control,Teddy Swims,70,I've Tried Everything But Therapy (Part 1),82,210689,Today’s Top Hits
61,Kill Bill,SZA,87,SOS,91,153947,Today’s Top Hits
62,fukumean,Gunna,82,a Gift & a Curse,94,125040,Today’s Top Hits
63,Super Shy,NewJeans,80,NewJeans 'Super Shy',91,154667,Today’s Top Hits
64,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,92,The Idol Episode 4 (Music from the HBO Original Series),91,244685,Today’s Top Hits
65,LALA,Myke Towers,84,LA VIDA ES UNA,96,197920,Today’s Top Hits
66,As It Was,Harry Styles,83,Harry's House,94,167303,Today’s Top Hits
67,Moonlight,Kali Uchis,81,Moonlight,87,187558,Today’s Top Hits
68,What It Is (Solo Version),Doechii,69,What It Is (Versions),86,189825,Today’s Top Hits
69,Nonsense,Sabrina Carpenter,77,emails i can't send,90,163648,Today’s Top Hits
70,Cupid - Twin Ver.,FIFTY FIFTY,69,The Beginning,83,174253,Today’s Top Hits
71,Boy's a liar Pt. 2,PinkPantheress,75,Boy's a liar Pt. 2,88,131013,Today’s Top Hits
72,You & Me,JENNIE,74,JENNIE Special Single [You & Me],83,179164,Today’s Top Hits
73,Say Yes To Heaven,Lana Del Rey,88,Say Yes To Heaven,89,209156,Today’s Top Hits
74,Style (Taylor's Version),Taylor Swift,100,1989 (Taylor's Version),90,231000,This Is Taylor Swift
75,Love Story (Taylor’s Version),Taylor Swift,100,Love Story (Taylor’s Version),86,235767,This Is Taylor Swift
76,Blank Space (Taylor's Version),Taylor Swift,100,1989 (Taylor's Version),89,231833,This Is Taylor Swift
77,Anti-Hero,Taylor Swift,100,Midnights,92,200690,This Is Taylor Swift
78,You Belong With Me (Taylor’s Version),Taylor Swift,100,Fearless (Taylor’s Version): The I Remember What You Said Last Night Chapter,80,231124,This Is Taylor Swift
79,Lover,Taylor Swift,100,Lover,92,221307,This Is Taylor Swift
80,Karma,Taylor Swift,100,Midnights,89,204852,This Is Taylor Swift
81,Say Don't Go (Taylor's Version) (From The Vault),Taylor Swift,100,1989 (Taylor's Version),90,279833,This Is Taylor Swift
82,Wildest Dreams (Taylor's Version),Taylor Swift,100,Wildest Dreams (Taylor's Version),85,220433,This Is Taylor Swift
83,Enchanted (Taylor's Version),Taylor Swift,100,Speak Now (Taylor's Version),87,353253,This Is Taylor Swift
84,"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,100,1989 (Taylor's Version),91,180381,This Is Taylor Swift
85,I Knew You Were Trouble (Taylor's Version),Taylor Swift,100,Red (Taylor's Version),77,219760,This Is Taylor Swift
86,New Romantics (Taylor's Version),Taylor Swift,100,1989 (Taylor's Version),86,230178,This Is Taylor Swift
87,Don’t Blame Me,Taylor Swift,100,reputation,91,236413,This Is Taylor Swift
88,Lavender Haze,Taylor Swift,100,Midnights,85,202396,This Is Taylor Swift
89,We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift,100,Red (Taylor's Version),76,193147,This Is Taylor Swift
90,Out Of The Woods (Taylor's Version),Taylor Swift,100,1989 (Taylor's Version),87,235800,This Is Taylor Swift
91,Mine (Taylor's Version),Taylor Swift,100,Speak Now (Taylor's Version),83,231707,This Is Taylor Swift
92,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,100,1989 (Taylor's Version),92,146437,This Is Taylor Swift
93,All Of The Girls You Loved Before,Taylor Swift,100,All Of The Girls You Loved Before,85,221407,This Is Taylor Swift
94,Delicate,Taylor Swift,100,reputation,88,232253,This Is Taylor Swift
95,I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,100,Speak Now (Taylor's Version),86,273186,This Is Taylor Swift
96,Shake It Off (Taylor's Version),Taylor Swift,100,1989 (Taylor's Version),86,219209,This Is Taylor Swift
97,Midnight Rain,Taylor Swift,100,Midnights,85,174783,This Is Taylor Swift
98,august,Taylor Swift,100,folklore,91,261923,This Is Taylor Swift
99,Bad Blood (feat. Kendrick Lamar) (Taylor's Version),Taylor Swift,100,1989 (Taylor's Version) [Deluxe],85,199773,This Is Taylor Swift
100,cardigan,Taylor Swift,100,folklore,90,239560,This Is Taylor Swift
101,22 (Taylor's Version),Taylor Swift,100,Red (Taylor's Version),74,230960,This Is Taylor Swift
102,Look What You Made Me Do,Taylor Swift,100,reputation,87,211853,This Is Taylor Swift
103,Back To December (Taylor's Version),Taylor Swift,100,Speak Now (Taylor's Version),84,294190,This Is Taylor Swift
104,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,100,Red (Taylor's Version),87,613027,This Is Taylor Swift
105,Welcome To New York (Taylor's Version),Taylor Swift,100,1989 (Taylor's Version),87,212600,This Is Taylor Swift
106,Snow On The Beach (feat. More Lana Del Rey),Taylor Swift,100,Midnights (The Til Dawn Edition),82,229943,This Is Taylor Swift
107,Mean (Taylor's Version),Taylor Swift,100,Speak Now (Taylor's Version),79,238693,This Is Taylor Swift
108,Clean (Taylor's Version),Taylor Swift,100,1989 (Taylor's Version),85,271000,This Is Taylor Swift
109,Hits Different,Taylor Swift,100,Midnights (The Til Dawn Edition),82,234467,This Is Taylor Swift
110,Getaway Car,Taylor Swift,100,reputation,87,233627,This Is Taylor Swift
111,All You Had To Do Was Stay (Taylor's Version),Taylor Swift,100,1989 (Taylor's Version),85,193289,This Is Taylor Swift
112,Bejeweled,Taylor Swift,100,Midnights,84,194166,This Is Taylor Swift
113,willow,Taylor Swift,100,evermore,83,214707,This Is Taylor Swift
114,Paper Rings,Taylor Swift,100,Lover,86,222400,This Is Taylor Swift
115,I Wish You Would (Taylor's Version),Taylor Swift,100,1989 (Taylor's Version),84,207650,This Is Taylor Swift
116,Dear John (Taylor's Version),Taylor Swift,100,Speak Now (Taylor's Version),79,405907,This Is Taylor Swift
117,"You're On Your Own, Kid",Taylor Swift,100,Midnights,85,194207,This Is Taylor Swift
118,The Man,Taylor Swift,100,Lover,87,190360,This Is Taylor Swift
119,Better Than Revenge (Taylor's Version),Taylor Swift,100,Speak Now (Taylor's Version),80,220307,This Is Taylor Swift
120,You Need To Calm Down,Taylor Swift,100,Lover,84,171360,This Is Taylor Swift
121,If This Was A Movie (Taylor’s Version),Taylor Swift,100,If This Was A Movie (Taylor’s Version),74,237022,This Is Taylor Swift
122,Suburban Legends (Taylor's Version) (From The Vault),Taylor Swift,100,1989 (Taylor's Version),87,171819,This Is Taylor Swift
123,Foolish One (Taylor’s Version) (From The Vault),Taylor Swift,100,Speak Now (Taylor's Version),77,311765,This Is Taylor Swift
124,Maroon,Taylor Swift,100,Midnights,81,218271,This Is Taylor Swift
125,When Emma Falls in Love (Taylor’s Version) (From The Vault),Taylor Swift,100,Speak Now (Taylor's Version),77,252386,This Is Taylor Swift
126,Vigilante Shit,Taylor Swift,100,Midnights,81,164801,This Is Taylor Swift
127,Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),Taylor Swift,100,Speak Now (Taylor's Version),77,266467,This Is Taylor Swift
128,Mastermind,Taylor Swift,100,Midnights,78,191039,This Is Taylor Swift
129,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Taylor Swift,100,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),76,277592,This Is Taylor Swift
130,Long Live (Taylor's Version),Taylor Swift,100,Speak Now (Taylor's Version),81,317960,This Is Taylor Swift
131,The Great War,Taylor Swift,100,Midnights (3am Edition),77,240356,This Is Taylor Swift
132,Safe & Sound (feat. Joy Williams and John Paul White) (Taylor’s Version),Taylor Swift,100,Safe & Sound (Taylor's Version),72,239668,This Is Taylor Swift
133,Timeless (Taylor’s Version) (From The Vault),Taylor Swift,100,Speak Now (Taylor's Version),77,321397,This Is Taylor Swift
134,The Way I Loved You (Taylor’s Version),Taylor Swift,100,Fearless (Taylor's Version),83,243137,This Is Taylor Swift
135,Gorgeous,Taylor Swift,100,reputation,84,209680,This Is Taylor Swift
136,The Story Of Us (Taylor's Version),Taylor Swift,100,Speak Now (Taylor's Version),78,267653,This Is Taylor Swift
137,Question...?,Taylor Swift,100,Midnights,75,210557,This Is Taylor Swift
138,champagne problems,Taylor Swift,100,evermore,83,244000,This Is Taylor Swift
139,Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),Taylor Swift,100,Speak Now (Taylor's Version),77,306062,This Is Taylor Swift
140,Eyes Open (Taylor's Version),Taylor Swift,100,Eyes Open (Taylor's Version),68,243264,This Is Taylor Swift
141,Ours (Taylor’s Version),Taylor Swift,100,Speak Now (Taylor's Version),74,235803,This Is Taylor Swift
142,Sweet Nothing,Taylor Swift,100,Midnights,77,188497,This Is Taylor Swift
143,Sparks Fly (Taylor’s Version),Taylor Swift,100,Speak Now (Taylor's Version),80,261231,This Is Taylor Swift
144,exile (feat. Bon Iver),Taylor Swift,100,folklore,83,285634,This Is Taylor Swift
145,Red,Taylor Swift,100,Red,60,220827,This Is Taylor Swift
146,Last Kiss (Taylor's Version),Taylor Swift,100,Speak Now (Taylor's Version),76,369120,This Is Taylor Swift
147,Delicate - Recorded at The Tracking Room Nashville,Taylor Swift,100,Spotify Singles,65,228461,This Is Taylor Swift
148,Paris,Taylor Swift,100,Midnights (3am Edition),73,196259,This Is Taylor Swift
149,Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift,100,Red (Taylor's Version),74,225960,This Is Taylor Swift
150,This Love (Taylor’s Version),Taylor Swift,100,This Love (Taylor’s Version),76,250100,This Is Taylor Swift
151,Labyrinth,Taylor Swift,100,Midnights,76,247962,This Is Taylor Swift
152,"Would've, Could've, Should've",Taylor Swift,100,Midnights (3am Edition),76,260362,This Is Taylor Swift
153,the 1,Taylor Swift,100,folklore,82,210252,This Is Taylor Swift
154,Bigger Than The Whole Sky,Taylor Swift,100,Midnights (3am Edition),74,218503,This Is Taylor Swift
155,End Game,Taylor Swift,100,reputation,82,244827,This Is Taylor Swift
156,High Infidelity,Taylor Swift,100,Midnights (3am Edition),72,231475,This Is Taylor Swift
157,Glitch,Taylor Swift,100,Midnights (3am Edition),71,148781,This Is Taylor Swift
158,Dear Reader,Taylor Swift,100,Midnights (3am Edition),71,225194,This Is Taylor Swift
159,my tears ricochet,Taylor Swift,100,folklore,82,255894,This Is Taylor Swift
160,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),Taylor Swift,100,Red (Taylor's Version),78,258813,This Is Taylor Swift
161,All Too Well,Taylor Swift,100,Red (Deluxe Edition),61,327893,This Is Taylor Swift
162,September - Recorded at The Tracking Room Nashville,Taylor Swift,100,Spotify Singles,67,187824,This Is Taylor Swift
163,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),Taylor Swift,100,Red (Taylor's Version),77,285107,This Is Taylor Swift
164,Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),Taylor Swift,100,Red (Taylor's Version),72,240227,This Is Taylor Swift
165,Cornelia Street,Taylor Swift,100,Lover,81,287267,This Is Taylor Swift
166,invisible string,Taylor Swift,100,folklore,79,252881,This Is Taylor Swift
167,Better Man (Taylor's Version) (From The Vault),Taylor Swift,100,Red (Taylor's Version),62,297013,This Is Taylor Swift
168,betty,Taylor Swift,100,folklore,79,294521,This Is Taylor Swift
169,‘tis the damn season,Taylor Swift,100,evermore,76,229840,This Is Taylor Swift
170,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,100,Lover,80,193000,This Is Taylor Swift
171,evermore (feat. Bon Iver),Taylor Swift,100,evermore,70,304107,This Is Taylor Swift
172,Afterglow,Taylor Swift,100,Lover,82,223293,This Is Taylor Swift
173,I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,73,Fifty Shades Darker (Original Motion Picture Soundtrack),70,245653,This Is Taylor Swift
174,Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),Taylor Swift,100,Red (Taylor's Version),76,245427,This Is Taylor Swift
175,I Did Something Bad,Taylor Swift,100,reputation,83,238253,This Is Taylor Swift
176,Love Story (Taylor's Version) - Elvira Remix,Taylor Swift,100,Love Story (Taylor's Version) [Elvira Remix],63,211857,This Is Taylor Swift
177,"no body, no crime (feat. HAIM)",Taylor Swift,100,evermore,73,215627,This Is Taylor Swift
178,I Forgot That You Existed,Taylor Swift,100,Lover,77,170640,This Is Taylor Swift
179,Call It What You Want,Taylor Swift,100,reputation,81,203507,This Is Taylor Swift
180,London Boy,Taylor Swift,100,Lover,81,190240,This Is Taylor Swift
181,The Very First Night (Taylor's Version) (From The Vault),Taylor Swift,100,Red (Taylor's Version),77,200280,This Is Taylor Swift
182,right where you left me - bonus track,Taylor Swift,100,evermore (deluxe version),82,245027,This Is Taylor Swift
183,Daylight,Taylor Swift,100,Lover,85,293453,This Is Taylor Swift
184,Begin Again,Taylor Swift,100,Red,58,237613,This Is Taylor Swift
185,Fearless,Taylor Swift,100,Fearless,60,241987,This Is Taylor Swift
186,Miss Americana & The Heartbreak Prince,Taylor Swift,100,Lover,84,234147,This Is Taylor Swift
187,the last great american dynasty,Taylor Swift,100,folklore,78,230999,This Is Taylor Swift
188,The Archer,Taylor Swift,100,Lover,82,211240,This Is Taylor Swift
189,Picture To Burn,Taylor Swift,100,Taylor Swift,71,173067,This Is Taylor Swift
190,That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),Taylor Swift,100,Fearless (Taylor's Version),70,189496,This Is Taylor Swift
191,Carolina - From The Motion Picture “Where The Crawdads Sing”,Taylor Swift,100,Carolina (From The Motion Picture “Where The Crawdads Sing”),69,264439,This Is Taylor Swift
192,I Think He Knows,Taylor Swift,100,Lover,79,173387,This Is Taylor Swift
193,Babe (Taylor's Version) (From The Vault),Taylor Swift,100,Red (Taylor's Version),74,224240,This Is Taylor Swift
194,this is me trying,Taylor Swift,100,folklore,80,195097,This Is Taylor Swift
195,gold rush,Taylor Swift,100,evermore,75,185320,This Is Taylor Swift
196,long story short,Taylor Swift,100,evermore,69,215920,This Is Taylor Swift
197,Forever Winter (Taylor's Version) (From The Vault),Taylor Swift,100,Red (Taylor's Version),60,263533,This Is Taylor Swift
198,Lover (Remix) [feat. Shawn Mendes],Taylor Swift,100,Lover (Remix) [feat. Shawn Mendes],77,221307,This Is Taylor Swift
199,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),Taylor Swift,100,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),64,220839,This Is Taylor Swift
200,Renegade,Big Red Machine,53,How Long Do You Think It's Gonna Last?,73,254467,This Is Taylor Swift
201,exile (feat. Bon Iver) - the long pond studio sessions,Taylor Swift,100,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],63,279893,This Is Taylor Swift
202,ivy,Taylor Swift,100,evermore,74,260440,This Is Taylor Swift
203,the lakes - original version,Taylor Swift,100,the lakes (original version),66,227203,This Is Taylor Swift
204,it’s time to go - bonus track,Taylor Swift,100,evermore (deluxe version),73,254640,This Is Taylor Swift
205,marjorie,Taylor Swift,100,evermore,76,257773,This Is Taylor Swift
206,mirrorball,Taylor Swift,100,folklore,81,208978,This Is Taylor Swift
207,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,100,Taylor Swift,69,203040,This Is Taylor Swift
208,Only The Young - Featured in Miss Americana,Taylor Swift,100,Only The Young (Featured in Miss Americana),68,157507,This Is Taylor Swift
209,illicit affairs,Taylor Swift,100,folklore,81,190898,This Is Taylor Swift
210,tolerate it,Taylor Swift,100,evermore,80,245440,This Is Taylor Swift
211,willow - dancing witch version (Elvira remix),Taylor Swift,100,willow [dancing witch version (Elvira remix)],63,184819,This Is Taylor Swift
212,happiness,Taylor Swift,100,evermore,71,315147,This Is Taylor Swift
213,We Were Happy (Taylor’s Version) (From The Vault),Taylor Swift,100,Fearless (Taylor's Version),68,244237,This Is Taylor Swift
214,dorothea,Taylor Swift,100,evermore,69,225880,This Is Taylor Swift
215,cardigan - cabin in candlelight version,Taylor Swift,100,cardigan (cabin in candlelight version),65,228000,This Is Taylor Swift
216,mad woman,Taylor Swift,100,folklore,72,237258,This Is Taylor Swift
217,Don’t You (Taylor’s Version) (From The Vault),Taylor Swift,100,Fearless (Taylor's Version),70,208609,This Is Taylor Swift
218,Our Song,Taylor Swift,100,Taylor Swift,76,201107,This Is Taylor Swift
219,seven,Taylor Swift,100,folklore,77,208907,This Is Taylor Swift
220,Dancing With Our Hands Tied,Taylor Swift,100,reputation,79,211507,This Is Taylor Swift
221,Death By A Thousand Cuts,Taylor Swift,100,Lover,79,198533,This Is Taylor Swift
222,Fifteen,Taylor Swift,100,Fearless,59,294333,This Is Taylor Swift
223,False God,Taylor Swift,100,Lover,78,200307,This Is Taylor Swift
224,Tim McGraw,Taylor Swift,100,Taylor Swift,68,232107,This Is Taylor Swift
225,Soon You’ll Get Better (feat. The Chicks),Taylor Swift,100,Lover,73,201587,This Is Taylor Swift
226,peace,Taylor Swift,100,folklore,72,234000,This Is Taylor Swift
227,White Horse (Taylor’s Version),Taylor Swift,100,Fearless (Taylor's Version),72,234516,This Is Taylor Swift
228,Cornelia Street - Live From Paris,Taylor Swift,100,Cornelia Street (Live From Paris),68,296013,This Is Taylor Swift
229,cowboy like me,Taylor Swift,100,evermore,72,275040,This Is Taylor Swift
230,epiphany,Taylor Swift,100,folklore,70,289749,This Is Taylor Swift
231,Death By A Thousand Cuts - Live From Paris,Taylor Swift,100,Death By A Thousand Cuts (Live From Paris),64,199067,This Is Taylor Swift
232,It’s Nice To Have A Friend,Taylor Swift,100,Lover,72,150440,This Is Taylor Swift
233,hoax,Taylor Swift,100,folklore,71,220043,This Is Taylor Swift
234,coney island (feat. The National),Taylor Swift,100,evermore,68,275320,This Is Taylor Swift
235,Highway Don't Care,Tim McGraw,68,Two Lanes Of Freedom,69,276880,This Is Taylor Swift
236,Bye Bye Baby (Taylor’s Version) (From The Vault),Taylor Swift,100,Fearless (Taylor's Version),68,242158,This Is Taylor Swift
237,closure,Taylor Swift,100,evermore,66,180653,This Is Taylor Swift
238,Christmas Tree Farm,Taylor Swift,100,Christmas Tree Farm,74,228027,This Is Taylor Swift
239,Thinkin’ Bout Me,Morgan Wallen,85,One Thing At A Time,86,177388,Country Top 50
240,You Proof,Morgan Wallen,85,You Proof,77,157478,Country Top 50
241,Wasted On You,Morgan Wallen,85,Dangerous: The Double Album,86,178520,Country Top 50
242,Hey Driver (feat. The War and Treaty),Zach Bryan,86,Zach Bryan,86,227467,Country Top 50
243,Rich Men North of Richmond,Oliver Anthony Music,67,Rich Men North of Richmond,86,187244,Country Top 50
244,Heading South,Zach Bryan,86,Heading South,85,171693,Country Top 50
245,The Kind of Love We Make,Luke Combs,81,The Kind of Love We Make,76,224427,Country Top 50
246,Tennessee Whiskey,Chris Stapleton,78,Traveller,84,293293,Country Top 50
247,Religiously,Bailey Zimmerman,72,Religiously. The Album.,85,178723,Country Top 50
248,Coal,Dylan Gossett,63,Coal,82,194440,Country Top 50
249,You Should Probably Leave,Chris Stapleton,78,Starting Over,83,213493,Country Top 50
250,Wild Ones (feat. Jelly Roll),Jessie Murph,70,Wild Ones (feat. Jelly Roll),82,142520,Country Top 50
251,Buy Dirt,Jordan Davis,71,Buy Dirt,83,167480,Country Top 50
252,We Ride,Bryan Martin,67,Poets & Old Souls,82,188483,Country Top 50
253,When It Rains It Pours,Luke Combs,81,This One's for You,83,240760,Country Top 50
254,Beautiful Crazy,Luke Combs,81,This One's for You Too (Deluxe Edition),83,193200,Country Top 50
255,Rock and A Hard Place,Bailey Zimmerman,72,Religiously. The Album.,82,207541,Country Top 50
256,White Horse,Chris Stapleton,78,White Horse,83,267893,Country Top 50
257,Life is a Highway,Rascal Flatts,65,Cars (Original Motion Picture Soundtrack),77,275640,Country Top 50
258,All Your'n,Tyler Childers,75,Country Squire,82,218280,Country Top 50
259,The Painter,Cody Johnson,73,The Painter,79,211413,Country Top 50
260,Please Don't Go,Wyatt Flores,61,Please Don't Go,80,181499,Country Top 50
261,Before He Cheats,Carrie Underwood,68,Some Hearts,81,199947,Country Top 50
262,Straight and Narrow,Sam Barber,65,Million Eyes,80,199875,Country Top 50
263,Feathered Indians,Tyler Childers,75,Purgatory,82,224947,Country Top 50
264,TRUCK BED,HARDY,71,TRUCK BED,71,167535,Country Top 50
265,Pretty Little Poison,Warren Zeiders,66,Pretty Little Poison,77,218160,Country Top 50
266,Wagon Wheel,Darius Rucker,65,True Believers,81,298373,Country Top 50
267,Next Thing You Know,Jordan Davis,71,Next Thing You Know,74,175238,Country Top 50
268,Porch Light,Josh Meloy,61,Porch Light,80,184949,Country Top 50
269,Watermelon Moonshine,Lainey Wilson,70,Bell Bottom Country,30,208853,Country Top 50
270,Chicken Fried,Zac Brown Band,69,The Foundation,80,238147,Country Top 50
271,Fall In Love,Bailey Zimmerman,72,Religiously. The Album.,80,232059,Country Top 50
272,23,Chayce Beckham,58,23,73,228145,Country Top 50
273,"10,000 Hours (with Justin Bieber)",Dan + Shay,69,"10,000 Hours (with Justin Bieber)",77,167693,Country Top 50
274,What My World Spins Around,Jordan Davis,71,What My World Spins Around,71,186791,Country Top 50
275,Tennessee Orange,Megan Moroney,65,Lucky,78,223120,Country Top 50
276,Starting Over,Chris Stapleton,78,Starting Over,68,240413,Country Top 50
277,Need A Favor,Jelly Roll,74,Whitsitt Chapel,29,197400,Country Top 50
278,One Of Them Girls,Lee Brice,67,One Of Them Girls,72,188893,Country Top 50
279,Country Girl (Shake It For Me),Luke Bryan,73,Tailgates & Tanlines,79,225560,Country Top 50
280,Lady May,Tyler Childers,75,Purgatory,79,183533,Country Top 50
281,Body Like A Back Road,Sam Hunt,67,Body Like A Back Road,73,165387,Country Top 50
282,Son Of A Sinner,Jelly Roll,74,Ballads of the Broken,22,232093,Country Top 50
283,Flower Shops (feat. Morgan Wallen),ERNEST,65,Flower Shops (feat. Morgan Wallen),71,214405,Country Top 50
284,In Your Love,Tyler Childers,75,In Your Love,77,225827,Country Top 50
285,You Broke My Heart,Drake,95,For All The Dogs Scary Hours Edition,0,230709,New Music Friday AU & NZ
286,We Don't Talk About It,Thelma Plum,47,We Don't Talk About It,37,174294,New Music Friday AU & NZ
287,Two Hearts,Dermot Kennedy,70,Two Hearts,55,246796,New Music Friday AU & NZ
288,PARTY & BS,KAHUKX,48,PARTY & BS,32,169339,New Music Friday AU & NZ
